participant_ID,task,effect,phase,group,rater_identifier,clarity_coherence,causal_reasoning,theoretical_depth,creativity,persuasiveness,overall_quality,topic_expert
Claude_opus4.8,race,main,pre,2,human evaluator 1,9,9,8,7,9,8.4,-1
senior_contributor_5cvcm,race,main,pre,1,human evaluator 1,8,7,6,7,7,7.0,1
senior_contributor_jakh3,race,main,pre,1,human evaluator 1,3,3,2,2,4,2.8,1
phd_contributor_mrqrj,race,main,pre,0,human evaluator 1,3,2,2,3,4,2.8,0
Claude_opus4.7,race,main,pre,2,human evaluator 1,7,7,7,8,9,7.6,-1
senior_contributor_8pxf3,race,main,pre,1,human evaluator 1,5,4,4,5,5,4.6,1
phd_contributor_5cv1y,race,main,pre,0,human evaluator 1,3,2,2,3,4,2.8,0
senior_contributor_ecdev,race,main,post,1,human evaluator 1,3,2,2,3,3,2.6,1
senior_contributor_mkvct,race,main,pre,1,human evaluator 1,3,3,2,3,4,3.0,1
phd_contributor_41mim,race,main,post,0,human evaluator 1,2,2,2,3,3,2.4,0
senior_contributor_tjek9,race,main,pre,1,human evaluator 1,3,3,3,2,4,3.0,1
Claude_sonnet4.6,race,main,post,2,human evaluator 1,9,9,9,8,8,8.6,-1
senior_contributor_h1ror,race,main,pre,1,human evaluator 1,4,4,4,3,3,3.6,1
senior_contributor_tjek9,race,main,post,1,human evaluator 1,4,3,2,3,3,3.0,1
phd_contributor_u3rga,race,main,pre,0,human evaluator 1,2,2,2,2,3,2.2,0
phd_contributor_mfkek,race,main,pre,0,human evaluator 1,3,3,2,3,4,3.0,0
GPT_5.5_thinking_standard,race,main,post,2,human evaluator 1,8,8,7,7,8,7.6,-1
phd_contributor_z7ttj,race,main,pre,0,human evaluator 1,9,8,9,8,8,8.4,0
phd_contributor_ul2n5,race,main,pre,0,human evaluator 1,3,2,2,2,3,2.4,0
GPT_5.3_instant,race,main,pre,2,human evaluator 1,8,7,7,7,7,7.2,-1
senior_contributor_zi680,race,interactions,post,1,human evaluator 1,7,8,8,8,8,7.8,0
senior_contributor_ogh5x,race,interactions,pre,1,human evaluator 1,1,1,1,1,1,1.0,0
GPT_5.4_thinking_extended,race,interactions,pre,2,human evaluator 1,6,6,7,7,7,6.6,-1
phd_contributor_upzfq,race,interactions,post,0,human evaluator 1,2,2,2,2,2,2.0,0
GPT_5.3_instant,race,interactions,pre,2,human evaluator 1,8,8,8,8,9,8.2,-1
senior_contributor_ecdev,race,interactions,pre,1,human evaluator 1,3,3,3,3,3,3.0,1
phd_contributor_ogfiu,race,interactions,post,0,human evaluator 1,4,3,3,4,4,3.6,0
senior_contributor_tjek9,race,interactions,post,1,human evaluator 1,4,4,4,4,3,3.8,1
phd_contributor_giyw7,race,interactions,pre,0,human evaluator 1,3,2,2,3,3,2.6,1
senior_contributor_mxspa,race,interactions,pre,1,human evaluator 1,3,4,4,3,4,3.6,1
phd_contributor_ama1n,race,interactions,post,0,human evaluator 1,3,2,4,2,2,2.6,0
phd_contributor_giyw7,race,interactions,post,0,human evaluator 1,4,5,5,5,6,5.0,1
phd_contributor_559wp,race,interactions,pre,0,human evaluator 1,3,2,2,2,3,2.4,0
senior_contributor_ecdev,race,interactions,post,1,human evaluator 1,3,2,2,2,4,2.6,1
phd_contributor_8fcno,race,interactions,pre,0,human evaluator 1,2,2,2,2,2,2.0,0
senior_contributor_uhvrz,race,interactions,post,1,human evaluator 1,3,3,3,4,3,3.2,1
Qwen_3.7Plus_thinking,race,interactions,post,2,human evaluator 1,8,8,9,8,9,8.4,-1
phd_contributor_ayd29,race,interactions,post,0,human evaluator 1,8,8,9,8,9,8.4,0
senior_contributor_wylyg,race,interactions,pre,1,human evaluator 1,2,2,2,2,2,2.0,1
phd_contributor_2rhpt,race,interactions,pre,0,human evaluator 1,8,7,8,7,8,7.6,0
phd_contributor_blzc1,gender,main,pre,0,human evaluator 1,6,6,5,6,7,6.0,0
Qwen_3.6Plus_thinking,gender,main,post,2,human evaluator 1,8,8,9,7,9,8.2,-1
phd_contributor_le01h,gender,main,pre,0,human evaluator 1,3,2,2,2,4,2.6,0
Grok4_fast,gender,main,pre,2,human evaluator 1,8,8,9,8,8,8.2,-1
phd_contributor_7nisc,gender,main,post,0,human evaluator 1,4,2,2,3,1,2.4,0
phd_contributor_blzc1,gender,main,post,0,human evaluator 1,4,2,2,3,2,2.6,0
senior_contributor_zi680,gender,main,post,1,human evaluator 1,8,8,8,8,8,8.0,0
senior_contributor_wylyg,gender,main,pre,1,human evaluator 1,5,5,4,5,4,4.6,1
phd_contributor_ama1n,gender,main,pre,0,human evaluator 1,3,2,2,3,3,2.6,0
senior_contributor_tjek9,gender,main,pre,1,human evaluator 1,5,4,4,4,4,4.2,1
senior_contributor_zi680,gender,main,pre,1,human evaluator 1,2,2,2,3,2,2.2,0
phd_contributor_zcof0,gender,main,pre,0,human evaluator 1,4,3,3,3,4,3.4,0
phd_contributor_5wz57,gender,main,pre,0,human evaluator 1,2,2,2,2,3,2.2,0
Grok4_fast,gender,main,post,2,human evaluator 1,8,8,8,7,8,7.8,-1
phd_contributor_ogfiu,gender,main,pre,0,human evaluator 1,7,7,7,7,8,7.2,0
Qwen_3.7Plus_thinking,gender,main,post,2,human evaluator 1,8,8,8,7,8,7.8,-1
senior_contributor_uhvrz,gender,main,pre,1,human evaluator 1,4,3,3,4,3,3.4,1
phd_contributor_z7ttj,gender,main,post,0,human evaluator 1,7,7,7,8,8,7.4,0
Claude_opus4.7_adaptive,gender,main,pre,2,human evaluator 1,8,9,9,8,9,8.6,-1
Mistral_balanced,gender,main,post,2,human evaluator 1,9,9,9,8,9,8.8,-1
phd_contributor_7trlj,gender,interactions,pre,0,human evaluator 1,3,2,2,2,3,2.4,1
gemini_3.1_pro_standard,gender,interactions,post,2,human evaluator 1,8,8,9,8,8,8.2,-1
senior_contributor_uhvrz,gender,interactions,post,1,human evaluator 1,3,2,2,2,3,2.4,1
senior_contributor_zi680,gender,interactions,post,1,human evaluator 1,8,8,8,7,8,7.8,0
GPT_5.4_thinking_extended,gender,interactions,post,2,human evaluator 1,7,8,8,7,8,7.6,-1
Mistral_balanced,gender,interactions,post,2,human evaluator 1,9,9,8,8,9,8.6,-1
phd_contributor_zcof0,gender,interactions,pre,0,human evaluator 1,2,2,2,2,3,2.2,0
phd_contributor_4luvh,gender,interactions,post,0,human evaluator 1,5,5,4,4,5,4.6,0
Claude_opus4.8_adaptive,gender,interactions,pre,2,human evaluator 1,9,9,9,9,9,9.0,-1
phd_contributor_7nisc,gender,interactions,pre,0,human evaluator 1,4,3,3,3,4,3.4,0
senior_contributor_wylyg,gender,interactions,pre,1,human evaluator 1,2,2,2,2,3,2.2,1
senior_contributor_8pxf3,gender,interactions,pre,1,human evaluator 1,4,4,4,3,4,3.8,1
phd_contributor_dwdg8,gender,interactions,pre,0,human evaluator 1,1,1,1,2,2,1.4,0
phd_contributor_le01h,gender,interactions,pre,0,human evaluator 1,1,1,2,2,2,1.6,0
