participant_ID,task,effect,phase,group,rater_identifier,clarity_coherence,causal_reasoning,theoretical_depth,creativity,persuasiveness,overall_quality,topic_expert
Claude_opus4.7,gender,interactions,post,2,gpt-5.5,9.0,9.0,9.0,9.0,9.0,9.0,-1
Claude_opus4.7_adaptive,gender,interactions,post,2,gpt-5.5,9.0,9.0,9.0,9.0,9.0,9.0,-1
Claude_opus4.8,gender,interactions,post,2,gpt-5.5,9.0,9.0,9.0,8.0,9.0,8.8,-1
Claude_opus4.8_adaptive,gender,interactions,post,2,gpt-5.5,8.0,9.0,10.0,9.0,9.0,9.0,-1
Claude_sonnet4.6,gender,interactions,post,2,gpt-5.5,8.0,9.0,10.0,9.0,9.0,9.0,-1
DeepSeek_expert,gender,interactions,post,2,gpt-5.5,9.0,10.0,10.0,9.0,10.0,9.6,-1
GPT_5.2_instant,gender,interactions,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
GPT_5.3_instant,gender,interactions,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
GPT_5.4_thinking_extended,gender,interactions,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
GPT_5.4_thinking_standard,gender,interactions,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
GPT_5.5_thinking_extended,gender,interactions,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
GPT_5.5_thinking_standard,gender,interactions,post,2,gpt-5.5,9.0,8.0,8.0,7.0,9.0,8.2,-1
GPT_5.6Sol_high,gender,interactions,post,2,gpt-5.5,9.0,9.0,9.0,8.0,9.0,8.8,-1
Gemini_3_fast,gender,interactions,post,2,gpt-5.5,9.0,8.0,9.0,8.0,8.0,8.4,-1
Grok4_expert,gender,interactions,post,2,gpt-5.5,8.0,7.0,7.0,6.0,7.0,7.0,-1
Grok4_fast,gender,interactions,post,2,gpt-5.5,10.0,9.0,9.0,8.0,9.0,9.0,-1
Mistral_balanced,gender,interactions,post,2,gpt-5.5,8.0,9.0,9.0,8.0,8.0,8.4,-1
Mistral_thinking,gender,interactions,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
Qwen_3.6Plus_thinking,gender,interactions,post,2,gpt-5.5,9.0,9.0,9.0,8.0,9.0,8.8,-1
Qwen_3.7Plus_thinking,gender,interactions,post,2,gpt-5.5,9.0,9.0,9.0,8.0,9.0,8.8,-1
Qwen_3.8Max_thinking,gender,interactions,post,2,gpt-5.5,9.0,10.0,10.0,9.0,9.0,9.4,-1
Theorista_GPT5.5_instant,gender,interactions,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
Theorista_GPT5.5_thinking_standard,gender,interactions,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
gemini_3.1_pro_standard,gender,interactions,post,2,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,-1
gemini_3.6flash_extended,gender,interactions,post,2,gpt-5.5,10.0,9.0,9.0,8.0,9.0,9.0,-1
phd_contributor_0k61g,gender,interactions,post,0,gpt-5.5,7.0,5.0,4.0,3.0,5.0,4.8,0
phd_contributor_0r0es,gender,interactions,post,0,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,0
phd_contributor_1gofd,gender,interactions,post,0,gpt-5.5,3.0,2.0,2.0,2.0,2.0,2.2,1
phd_contributor_1kwwe,gender,interactions,post,0,gpt-5.5,5.0,4.0,3.0,3.0,4.0,3.8,0
phd_contributor_1nw3h,gender,interactions,post,0,gpt-5.5,5.0,5.0,4.0,3.0,5.0,4.4,0
phd_contributor_2rhpt,gender,interactions,post,0,gpt-5.5,7.0,7.0,7.0,7.0,7.0,7.0,0
phd_contributor_2xy9o,gender,interactions,post,0,gpt-5.5,4.0,4.0,3.0,3.0,3.0,3.4,0
phd_contributor_34xvl,gender,interactions,post,0,gpt-5.5,6.0,7.0,6.0,8.0,7.0,6.8,0
phd_contributor_41mim,gender,interactions,post,0,gpt-5.5,6.0,5.0,5.0,4.0,5.0,5.0,0
phd_contributor_45ypj,gender,interactions,post,0,gpt-5.5,6.0,5.0,4.0,4.0,5.0,4.8,0
phd_contributor_4luvh,gender,interactions,post,0,gpt-5.5,7.0,7.0,6.0,5.0,7.0,6.4,0
phd_contributor_558ea,gender,interactions,post,0,gpt-5.5,5.0,3.0,3.0,3.0,3.0,3.4,0
phd_contributor_559wp,gender,interactions,post,0,gpt-5.5,7.0,4.0,3.0,2.0,4.0,4.0,0
phd_contributor_5cv1y,gender,interactions,post,0,gpt-5.5,7.0,6.0,5.0,4.0,6.0,5.6,0
phd_contributor_5nazt,gender,interactions,post,0,gpt-5.5,5.0,3.0,2.0,2.0,3.0,3.0,1
phd_contributor_5wz57,gender,interactions,post,0,gpt-5.5,8.0,7.0,6.0,5.0,7.0,6.6,0
phd_contributor_7nisc,gender,interactions,post,0,gpt-5.5,7.0,5.0,4.0,3.0,5.0,4.8,0
phd_contributor_7trlj,gender,interactions,post,0,gpt-5.5,6.0,4.0,3.0,3.0,4.0,4.0,1
phd_contributor_7x004,gender,interactions,post,0,gpt-5.5,3.0,2.0,2.0,2.0,2.0,2.2,0
phd_contributor_81m5u,gender,interactions,post,0,gpt-5.5,6.0,4.0,3.0,3.0,4.0,4.0,0
phd_contributor_872ey,gender,interactions,post,0,gpt-5.5,6.0,5.0,4.0,3.0,4.0,4.4,0
phd_contributor_8fcno,gender,interactions,post,0,gpt-5.5,6.0,5.0,5.0,5.0,4.0,5.0,0
phd_contributor_9b8k7,gender,interactions,post,0,gpt-5.5,4.0,3.0,2.0,2.0,3.0,2.8,0
phd_contributor_9pm5a,gender,interactions,post,0,gpt-5.5,6.0,5.0,4.0,3.0,5.0,4.6,0
phd_contributor_ama1n,gender,interactions,post,0,gpt-5.5,6.0,4.0,3.0,2.0,4.0,3.8,0
phd_contributor_ayd29,gender,interactions,post,0,gpt-5.5,10.0,9.0,9.0,8.0,9.0,9.0,0
phd_contributor_blzc1,gender,interactions,post,0,gpt-5.5,7.0,3.0,3.0,2.0,4.0,3.8,0
phd_contributor_c5rzh,gender,interactions,post,0,gpt-5.5,7.0,5.0,3.0,3.0,5.0,4.6,0
phd_contributor_c5sgk,gender,interactions,post,0,gpt-5.5,8.0,7.0,7.0,6.0,7.0,7.0,0
phd_contributor_c9vs4,gender,interactions,post,0,gpt-5.5,6.0,3.0,2.0,2.0,3.0,3.2,0
phd_contributor_dpw1t,gender,interactions,post,0,gpt-5.5,9.0,8.0,7.0,6.0,8.0,7.6,0
phd_contributor_drr4r,gender,interactions,post,0,gpt-5.5,6.0,4.0,3.0,3.0,4.0,4.0,0
phd_contributor_dwdg8,gender,interactions,post,0,gpt-5.5,5.0,3.0,2.0,2.0,3.0,3.0,0
phd_contributor_fojz7,gender,interactions,post,0,gpt-5.5,6.0,5.0,5.0,5.0,5.0,5.2,0
phd_contributor_giyw7,gender,interactions,post,0,gpt-5.5,8.0,6.0,6.0,5.0,7.0,6.4,1
phd_contributor_iuy3c,gender,interactions,post,0,gpt-5.5,8.0,8.0,7.0,7.0,8.0,7.6,0
phd_contributor_iv4qg,gender,interactions,post,0,gpt-5.5,8.0,6.0,5.0,4.0,6.0,5.8,0
phd_contributor_kmwj4,gender,interactions,post,0,gpt-5.5,7.0,6.0,5.0,4.0,6.0,5.6,0
phd_contributor_kyj4r,gender,interactions,post,0,gpt-5.5,5.0,4.0,3.0,2.0,4.0,3.6,0
phd_contributor_le01h,gender,interactions,post,0,gpt-5.5,4.0,3.0,2.0,2.0,3.0,2.8,0
phd_contributor_ly6qj,gender,interactions,post,0,gpt-5.5,5.0,5.0,4.0,3.0,4.0,4.2,1
phd_contributor_mcaaw,gender,interactions,post,0,gpt-5.5,8.0,8.0,7.0,7.0,8.0,7.6,1
phd_contributor_mdmrd,gender,interactions,post,0,gpt-5.5,4.0,3.0,2.0,2.0,2.0,2.6,0
phd_contributor_mfkek,gender,interactions,post,0,gpt-5.5,9.0,8.0,8.0,7.0,8.0,8.0,0
phd_contributor_mrqrj,gender,interactions,post,0,gpt-5.5,7.0,5.0,4.0,4.0,5.0,5.0,0
phd_contributor_ogfiu,gender,interactions,post,0,gpt-5.5,6.0,6.0,4.0,4.0,5.0,5.0,0
phd_contributor_rvget,gender,interactions,post,0,gpt-5.5,7.0,6.0,5.0,6.0,6.0,6.0,0
phd_contributor_u3rga,gender,interactions,post,0,gpt-5.5,5.0,6.0,5.0,5.0,5.0,5.2,0
phd_contributor_ul2n5,gender,interactions,post,0,gpt-5.5,7.0,6.0,5.0,4.0,6.0,5.6,0
phd_contributor_upzfq,gender,interactions,post,0,gpt-5.5,7.0,5.0,4.0,3.0,5.0,4.8,0
phd_contributor_wbgok,gender,interactions,post,0,gpt-5.5,7.0,7.0,7.0,6.0,7.0,6.8,0
phd_contributor_wqux6,gender,interactions,post,0,gpt-5.5,5.0,5.0,4.0,4.0,5.0,4.6,0
phd_contributor_yedjp,gender,interactions,post,0,gpt-5.5,5.0,6.0,5.0,5.0,5.0,5.2,0
phd_contributor_yg9p5,gender,interactions,post,0,gpt-5.5,8.0,6.0,5.0,4.0,6.0,5.8,0
phd_contributor_z2j87,gender,interactions,post,0,gpt-5.5,8.0,8.0,7.0,6.0,8.0,7.4,0
phd_contributor_z7ttj,gender,interactions,post,0,gpt-5.5,3.0,2.0,1.0,1.0,2.0,1.8,0
phd_contributor_z9ezk,gender,interactions,post,0,gpt-5.5,6.0,5.0,4.0,5.0,5.0,5.0,0
phd_contributor_zbjey,gender,interactions,post,0,gpt-5.5,4.0,3.0,3.0,3.0,2.0,3.0,0
phd_contributor_zcof0,gender,interactions,post,0,gpt-5.5,9.0,8.0,8.0,8.0,8.0,8.2,0
phd_contributor_zi2lh,gender,interactions,post,0,gpt-5.5,5.0,4.0,3.0,4.0,3.0,3.8,0
senior_contributor_5cvcm,gender,interactions,post,1,gpt-5.5,7.0,6.0,5.0,4.0,6.0,5.6,1
senior_contributor_8pxf3,gender,interactions,post,1,gpt-5.5,7.0,7.0,6.0,5.0,7.0,6.4,1
senior_contributor_ecdev,gender,interactions,post,1,gpt-5.5,8.0,7.0,6.0,5.0,7.0,6.6,1
senior_contributor_h1ror,gender,interactions,post,1,gpt-5.5,8.0,6.0,5.0,5.0,6.0,6.0,1
senior_contributor_jakh3,gender,interactions,post,1,gpt-5.5,8.0,7.0,7.0,6.0,7.0,7.0,1
